FMID,Marketname,,street,city,State,zip,Season1Start,Season1End,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested
1004557,"Antigo Farmers Market, Inc.",http://www.antigomarket.com,700 Superior St,Antigo,Wisconsin,54409,6/7/2014,9/27/14,Sat: 8:00 AM-12:00 PM;,,,,,,,-89.15228,45.14188,Y,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1006586,Antioch Farmers' Market at Somersville Towne Center,http://www.pcfma.com/market_producers.php?market_id=70,2600 Somersville Rd.,Antioch,California,94509,May,September,sun:9:00 AM - 1:00 PM;,,,,,,,-121.844338,38.002918,Y,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
1003071,Antrim County Farmers Market,,Behind Senior Citizen Center,Bellaire,Michigan,49615,,,,,,,,,,-85.2095,44.9718,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1005207,Appalachian Farmers' Market,http://www.appfarmersmarket.com,Intersection of Fair Street and Lakeview Drive,Gray,Tennessee,37615,June,October,,May to May,Sat:7:00 am - 12:00 pm;,,,,,-82.4819,36.4183,Y,N,N,N,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
1000683,Apple Country Farmers Market,http://www.applecountryorchards.com,19th and Ave A,Lubbock,Texas,79401,June,September,Mon:9:00 AM - 5:30 PM;Tue:9:00 AM - 5:30 PM;Wed:9:00 AM - 5:30 PM;Thu:9:00 AM - 5:30 PM;Fri:9:00 AM - 5:30 PM;Sat:9:00 AM - 5:30 PM;,,,,,,,-101.8364,33.57785,Y,N,Y,N,Y,-,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000685,Apple Country Farmers Market,http://www.applecountryorchards.com,12206 E. Hwy 62,Idalou,Texas,79329,January,December,Mon:9:00 AM - 6:00 PM;Tue:9:00 AM - 6:00 PM;Wed:9:00 AM - 6:00 PM;Thu:9:00 AM - 6:00 PM;Fri:9:00 AM - 6:00 PM;Sat:9:00 AM - 6:00 PM;sun:9:00 AM - 4:00 PM;,,,,,,,-101.611862,33.666336,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1006889,Apple Valley Farmers' Market,,corner of Cty Rd 42 & Galaxy near City Hall,Apple Valley,Minnesota,,,,,,,,,,,-93.2072,44.7309,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000431,Appleton Downtown Farm Market,http://www.appletondowntown.org,100 College Avenue,Appleton,Wisconsin,54911,6/15/2013,10/26/13,Sat: 8:00 AM-12:30 PM;,,,,,,,-88.40703,44.26201,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1009687,Aptos Farmers Market at Cabrillo College,http://www.montereybayfarmers.org,6500 Soquel Drive,Aptos,California,95003,1/1/2014,12/31/14,Sat: 8:00 AM-12:00 PM;,,,,,,,-121.9270394,36.9872756,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N
1007130,Aquidneck Grange Farmers Market,,499 East Main Rd.,Middletown,Rhode Island,,,,,,,,,,,-71.2842,41.521,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001738,Aquidneck Growers' Markets,http://www.aquidneckgrowersmarket.com,909 East Main Road,Middletown,Rhode Island,02840,6/7/2014,10/25/14,Sat: 9:00 AM-1:00 PM;,,,,,,,-71.271936,41.529191,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N
1004566,Arab Farmers' Market,,307 NORTH MAIN STREET,Arab,Alabama,36016,April,November,Mon:7:00 AM - 3:00 PM;Wed:7:00 AM - 3:00 PM;Sat:7:00 AM - 3:00 PM;,,,,,,,-86.495876,34.320401,Y,N,N,Y,N,-,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
1008482,Arbuckle Certified Farmers Market,http://arbucklerevitalization.org/farmersmarket.html,6613 Harrington Avenue,Arbuckle ,California,,,,,,,,,,,-122.066082,38.953013,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001764,Arcade Farmers' Market,,400 W. Main St.,Arcade,New York,14009,June,October,Sat:9:00 AM - 1:00 PM;,,,,,,,-78.4308288,42.5337764,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N
1000558,Arcadia Valley Farmers' Market,,250 South Main Street,Ironton,Missouri,63650,5/25/2013,10/26/13,Sat: 7:00 AM-12:00 PM;,,,,,,,-90.6278618,37.5945109,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N
1002085,Arcata Plaza Farmers' Market,http://www.humfarm.org,9th and H Streets,Arcata,California,95521,1/1/2014,12/31/14,Sat: 9:00 AM-2:00 PM;,,,,,,,-124.086882,40.868397,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N
1001628,Archwood Green Barns Farmers' Market,https://www.facebook.com/Archwoodgreenbarns,"Intersection of Rt. 245 & I-66, exit 31",The Plains,Virginia,20198,4/27/2014,11/9/14,Sun: 10:00 AM-3:00 PM;,,,,,,,-77.787516,38.850955,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N
1007662,Area Farmers Market,http://www.brazosvalleyfarmersmarket.com,3102 Baldwin Street,Corpus Christi,Texas,78405,,,,,,,,,,-97.4258,27.7763,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002798,Arenac Conservation District Farmers Market,http://www.arenacconservationdistrict.com,107 N Main Street,Standish,Michigan,48658,June,October,Sat:9:00 AM - 1:00 PM;,,,,,,,-83.961296,43.983428,Y,Y,N,Y,N,-,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
1010265,Argus Farm Stop,http://www.Argusfarmstop.com,325 W. Liberty,Ann Arbor ,Michigan,48130,1/1/2014,12/31/14,Mon: 7:00 AM-7:00 PM;Tue: 7:00 AM-7:00 PM;Wed: 7:00 AM-7:00 PM;Thu: 7:00 AM-7:00 PM;Fri: 7:00 AM-7:00 PM;Sat: 8:00 AM-6:00 PM;Sun: 8:00 AM-6:00 PM;,,,,,,,-83.752138,42.278999,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y
1007843,Arivaca Market,,"Gadsen Coffee Co., 16800 Arivaca Rd.",Arivaca,Arizona,,,,,,,,,,,-111.319,31.591,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002314,Ark City Farm & Art Market,http://www.arkcity.org/CurrentEvents.asp?EID=1457,200 Blcok S. Summit,Arkansas City,Kansas,67005,,,,,,,,,,-97.0386,37.0609,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1005928,Arkansas County/North Farmers Market,,Main and Sixth,Stuttgart,Arkansas,72160,,,,,,,,,,-91.5488,34.4851,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1005927,Arkansas County/South Farmers Market,,The Triangle,DeWitt,Arkansas,72042,,,,,,,,,,-91.3401,34.2823,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002621,Arkansas Home Grown Market I,,Corner of Cantrell and Pleasant Valley,Little Rock,Arkansas,72206,,,,,,,,,,-92.3709,34.7568,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002622,Arkansas Home Grown Market II,,Lakewood Village Mall,Little Rock,Arkansas,72206,,,,,,,,,,-92.2329,34.7955,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002620,Arkansas Home Grown Market IIi,,YMCA - 12th & Cleveland,Little Rock,Arkansas,72206,,,,,,,,,,-92.3452,34.7404,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001018,Arkansas Local Food Network Online Farmers Market,http://www.littlerock.locallygrown.net,509 Scott St.,Little Rock,Arkansas,72201,1/1/2012,12/31/12,Mon: 4:30 PM-6:00 PM;Sat: 10:00 AM-12:00 PM;,,,,,,,-92.269599,34.743076,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N
1002581,Arlene Knudson,,305 N. Buckeye Street,Osgood,Indiana,47037,,,,,,,,,,-85.2924,39.1313,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002611,Arlington Farmers Market,http://www.Arlingtonfarmersmarket.blogspot.com,200 North Olympic,Arlington,Washington,98223,7/5/2014,9/20/14,Sat: 10:00 AM-3:00 PM;,,,,,,,-122.1264564,48.1936753,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,N
1008236,Arlington Farmers Market,http://www.arlingtonhasit.org,123 Raymond Avenue ,Poughkeepsie,New York,12603,6/5/2014,10/30/14,Thu: 3:00 PM-7:00 PM;,,,,,,,-73.901164,41.691447,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N
1008330,Arlington Farmers Market,http://www.arlingtonparks.us/farmersmarket,1400 N. Courthouse Rd.,Arlington ,Virginia,22201,4/26/2014,12/27/14,Sat: 8:00 AM-12:00 PM;,01/03/2015 to 04/18/2015,Sat: 9:00 AM-1:00 PM;,,,,,-77.084394,38.889579,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N
1009968,Arlington Farmers Market,http://farmersmarketarlington.org,"Russell Commons Parking Lot, Winslow St. at Mystic St","Arlington, Ma. ",Massachusetts,02474,6/11/2014,10/29/14,Wed: 2:00 PM-6:30 PM;,,,,,,,-71.164738,42.427739,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N
1003571,Arlington Heights Farmers Market,,N. Arlington Heights Rd. at E. Eastman St.,Arlington,Illinois,60004,,,,,,,,,,-87.9808,42.086,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004802,Armijo Village Growers' Market,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,Isleta Blvd & Arenal Rd,Albuquerque,New Mexico,,5/10/2014,10/25/14,Sat: 8:00 AM-12:00 PM;,,,,,,,-106.67716,35.052905,Y,Y,N,Y,Y,-,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1010187,Armory Farmers Market,http://www.farmfreshri.org,Parade St And Hudson St,Providence ,Rhode Island,02907,,,Thu: 3:30 AM-7:00 PM;,,,,,,,-71.431725,41.813396,Y,Y,Y,Y,Y,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001991,Arnold Farmers Market,https://www.facebook.com/arnoldfarmersmarket,2400 Bradley Beach Road,Arnold,Missouri,63010,5/3/2014,10/18/14,Sat: 8:00 AM-12:00 PM;,,,,,,,-90.359467,38.454309,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,Y
1000294,Arnold-Mountain Growers Farmers Market,,"Cedar Center, Hwy. 4 & Oak Circle",Murphys,California,95247,,,,,,,,,,-120.362,38.239,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001892,Arroyo Grande Oak Park Plaza Farmers Market,,"East Branch, K-Mart Parking lot",Arroyo Grande,California,93420,,,,,,,,,,-120.552,35.1271,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001893,Arroyo Grande Spencers CFM,,1464 E. Grand Avenue,Arroyo Grande,California,,,,,,,,,,,-120.606,35.1221,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1006270,Arthur Produce Auction,,354 N Cr-100 E,Arthur,Illinois,61911,,,,,,,,,,-88.4518,39.7033,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1008855,Artisan and Agriculture Market,http://www.MacombConservationDistrict.org,72955 Van Dyke Ave.,Bruce Township,Michigan,48065,6/15/2014,9/21/14,Sun: 10:00 AM-3:00 PM;,,,,,,,-83.020813,42.830852,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N
1010575,Artisan Exchange West Chester,http://www.artisanexchangewcpa.com,208 Carter Drive Suite 13B,West Chester,Pennsylvania,19382,1/1/2014,12/31/14,Sat: 10:00 AM-2:00 PM;,01/01/2015 to 12/31/2015,Sat: 10:00 AM-2:00 PM;,,,,,-75.587797,39.948293,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
1008534,Artisan Foodworks Thursday Evening Market,http://www.artisanfoodworks.com/,9600 North US Hwy 31,Columbus ,Indiana,47201,6/6/2013,9/26/13,Thu: 3:30 PM-7:00 PM;,,,,,,,-85.953111,39.292351,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1007842,Artisan Gift and Farmers Market,,"Bear Canyon Shopping Center, (East Tanque Verde Rd. & Catalina Hwy.)",Tucson,Arizona,,,,,,,,,,,-110.799,32.2579,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1005081,Arvada Farmers Market,http://www.arvadafarmersmarket.com,57th St. & Olde Wadsworth St.,Arvada,Colorado,80002,6/2/2013,9/29/13,Sun: 9:00 AM-1:30 PM;,,,,,,,-105.081455,39.800138,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1009285,Arvada Five Parks Farmers Market,http://www.arvadafiveparksfarmersmarket.blogspot.com/,13810 W. 85th Dr.,Arvada,Colorado,80005,,,,,,,,,,-105.155,39.8488,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1009272,Asbury Fresh,http://www.asburyfresh.com/,Kennedy Park (on Cookman Ave next to Ivan & Andys,Asbury Park,New Jersey,07712,,,,,,,,,,-74.0094,40.2164,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004350,Asbury Park Carousel Farmers' Market,, First and Ocean Avenue,Asbury Park,New Jersey,07712,June,October,Thu:4:00 PM - 7:00 PM;,,,,,,,-74.0007788,40.219339,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N
1000397,Ashboro Downtown Farmers Market,,134 South Church Street,Asheboro,North Carolina,28801,,,,,,,,,,-79.8175,35.7049,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002490,Ashburn (Chicago) Farmers Market,http://www.cityofchicago.org/specialevents,6700 S. Kedzie Ave.,Chicago,Illinois,60629,,,,,,,,,,-87.626,41.8851,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003061,Ashburn Farmers Market,http://www.loudounfarmersmarkets.org,44036 Pipeline Plaza,Ashburn,Virginia,20147,5/3/2014,10/25/14,Sat: 8:00 AM-12:00 PM;,,,,,,,-77.477858,39.02313,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N
1007599,Ashburnham Farmers Market,,32 Main St,Ashburnham,Massachusetts,01430,,,,,,,,,,-71.9098,42.6372,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1007600,Ashby Farmers Market,,"Town Common, Main Street, Rte 119",Ashby,Massachusetts,01431,,,,,,,,,,-71.8208,42.6778,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003575,Ashdown Farmers Market,,Block of East Main St.,Ashdown,Arkansas,71822,,,,,,,,,,-94.131,33.6747,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003219,Ashe County Farmers Market,http://www.ashefarmersmarket.com,108 Backstreet,West Jefferson,North Carolina,28694,4/12/2014,12/1/14,Wed: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-81.493514,36.402494,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N
1008904,Asheville City Market,http://asapconnections.org/citymarket,161 S Charlotte Street,Asheville ,North Carolina,28801,4/5/2014,12/20/14,Sat: 8:00 AM-1:00 PM;,,,,,,,-82.548852,35.593481,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N
1008905,Asheville City Market - South,http://asapconnections.org/citymarket,1 Town Square Blvd,Asheville,North Carolina,28803,4/2/2014,10/29/14,Wed: 1:00 PM-5:00 PM;,,,,,,,-82.554646,35.486275,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N
1000887,Ashfield Farmers Market,http://www.ashfieldfarmersmarket.com,Ashfield Town Common,Ashfield,Massachusetts,01330,,,,,,,,,,-72.790325,42.525744,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1007501,Ashford Farmers' Market,,"Pompey Hollow Park, across from the Town Hall",Ashford,Connecticut,,,,,,,,,,,-72.1646,41.8663,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1005158,Ashland Area Farmers Market,,200th Block Chapple Ave,Ashland,Wisconsin,54846,,,,,,,,,,-90.8907,46.5882,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1008897,Ashland Farmers Market,http://www.facebook.com/ashlandfarmersmarket,121 Thompson St.,Ashland,Virginia,23005,5/3/2014,10/25/14,Sat: 9:00 AM-12:00 PM;,,,,,,,-77.483403,37.758687,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N
1009810,Ashland Farmers Market,http://www.ashlandfarmersmarket.org/,125 Front St,Ashland,Massachusetts,01721,6/14/2014,10/11/14,Sat: 9:00 AM-1:00 PM;,,,,,,,-71.461538,42.260027,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N
1007787,Ashland Tuesday Market,http://www.rvgrowersmarket.com,1420 East Main,Ashland,Oregon,97520,,,,,,,,,,-122.692,42.1945,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000465,Ashland United Methodist Church Farmers Market,http://www.ashlandumc.com/gallery/seeds/seeds.htm,2600 Ashland Road,Columbia,South Carolina,29210,,,,,,,,,,-81.1279,34.0412,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003642,Ashley County Farmers Market,,Highway 82,Crossett,Arkansas,71635,,,,,,,,,,-91.9664,33.1353,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1006964,Ashley Farmers Market,,"On East Main Street,",Ashley,North Dakota,,,,,,,,,,,-99.3684,46.0344,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000836,Ashley Valley Farmers' Market (Vernal),http://www.avfarmersmarket.com,Old Dinosaur Gardens on Main Street (~240East),Vernal,Utah,,July,September,Sat:8:00 AM - 12:00 PM;,,,,,,,-109.5240917,40.45574722,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N
1008599,Ashmont/Peabody Square Farmers Market,http://www.smams.org,Opposite 1911 Dorchester Ave,Dorchester,Massachusetts,02124,6/20/2014,10/17/14,Fri: 3:00 PM-7:00 PM;,,,,,,,-71.064207,42.285504,Y,Y,N,Y,Y,-,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1004530,Ashotn Farmers Market,http://www.gardenshelper.blogspot.com,Off Main Street,Ashton,Idaho,83420,,,,,,,,,,-111.446,44.0714,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1009244,Ashtabula Farmers Market,https://www.facebook.com/AshtabulaFarmersMarket,1119 Bridge Street,Ashtabula,Ohio,44004,,,,,,,,,,-80.7998,41.8995,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004692,Aspen Grove Farmers' Market,http://www.denverfarmersmarket.com,7301 S Santa Fe Dr,Littleton,Colorado,80120,6/11/2014,10/29/14,Wed: 10:00 AM-2:00 PM;,,,,,,,-105.025317,39.585442,Y,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,N,N,N
1005837,Aspen Saturday Market,,East Hopkins and South Hunter,Aspen,Colorado,81611,,,,,,,,,,-106.817,39.1894,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000086,Astoria Greenmarket,http://www.grownyc.org,14 St - 31 Ave & 31 Rd,Queens,New York,11106,7/10/2013,11/20/13,Wed: 8:00 AM-3:00 PM;,,,,,,,-73.932452,40.767672,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003661,Astoria Sunday Market,http://www.AstoriaSundayMarket.com,12th Street,Astoria,Oregon,97103,5/12/2013,10/13/13,Sun: 10:00 AM-3:00 PM;,,,,,,,-123.8302951,46.185509,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N
1001565,Asu Farmers Market,http://www.students.asu.edu/farmersmarket,300 E Orange Mall,Tempe,Arizona,85281,9/24/2013,11/19/13,Mon: 9:00 AM-2:00 PM;,01/14/2014 to 04/22/2014,Mon: 9:00 AM-2:00 PM;,,,,,-111.9349065,33.418338,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1001245,Asu Regional Farmers Market,http://www.asuregionalfarmersmarket.org,3300 Aggie Road,Jonesboro,Arkansas,72401,5/3/2014,5/31/14,Sat: 7:00 AM-1:00 PM;,06/03/2014 to 09/30/2014,Tue: 12:00 PM-5:30 PM;Sat: 7:00 AM-1:00 PM;,10/04/2014 to 10/25/2014,Sat: 7:00 AM-1:00 PM;,,,-90.667327,35.840771,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N
